Lx,Ly,H1,H2,tf,tr,bc,hc,tw_ext,wall_tilt_angle,window_ratio_2f,roof_morph,roof_shift,balcony_depth,cost_per_sqm,co2_per_sqm,comfort_score,constructability_score,safety_factor,total_cost,floor_area,design_pattern,evaluation_status,evaluation_time_s,fcstd_path
8.3,9.07,3.88,2.76,478,227,673,561,257,12.3,0.27,0.59,0.03,3.1,1381280.9423867979,1405.4955880806397,9.14421875,6.02,1.3223111393305877,103984210.62382054,75.281,小型_重構造_標準天井,success,4.455183982849121,fcstd_outputs/sample43.FCStd
14.49,8.64,3.97,2.6,477,304,447,566,344,5.8,0.5,0.07,0.33,1.6,1203332.429388862,620.1041182911431,9.12171875,7.67,0.8868694261030357,150649518.83193746,125.1936,中型_重構造_標準天井,success,9.49688982963562,fcstd_outputs/sample44.FCStd
13.59,11.86,2.65,2.96,418,245,591,726,287,15.8,0.7,0.46,0.38,1.5,1411289.0180058698,1551.5637155468244,9.765625,6.17,1.3782875056303037,227467894.57073924,161.17739999999998,中型_重構造_標準天井,success,8.887049198150635,fcstd_outputs/sample45.FCStd
8.28,8.37,2.75,3.56,395,319,481,762,176,28.6,0.47,0.16,-0.09,1.3,1352613.050067862,1269.3203743969752,8.00246875,5.39,3.451924947143096,93740953.77668306,69.30359999999999,小型_重構造_標準天井,success,3.4551942348480225,fcstd_outputs/sample46.FCStd
12.76,8.7,4.1,3.72,298,375,837,554,235,-11.1,0.46,0.59,0.23,3.2,1316478.6193458198,1057.5164490165337,9.866937499999999,6.140000000000001,1.3439856671648382,146144924.49081814,111.01199999999999,中型_重構造_高天井,success,7.661129951477051,fcstd_outputs/sample47.FCStd
12.54,9.87,3.68,2.81,232,336,354,653,282,12.7,0.19,0.65,-0.29,3.0,1321750.62855563,1220.9042155510915,9.262968749999999,5.98,1.1139197312768494,163592810.9462046,123.76979999999998,中型_重構造_標準天井,success,7.381350040435791,fcstd_outputs/sample48.FCStd
9.17,12.8,3.79,2.81,465,375,555,560,317,-19.0,0.69,0.35,-0.4,1.4,1286290.5431098484,968.7297695628135,9.97384375,5.85,1.4543491651420792,150979638.78806156,117.376,中型_超重構造_標準天井,success,7.121896982192993,fcstd_outputs/sample49.FCStd
10.45,12.74,3.62,2.87,398,341,783,502,231,-27.2,0.36,0.29,-0.33,1.8,1306696.9079850053,1022.3866957386372,8.610531250000001,5.03,2.118020513462648,173964479.4507677,133.13299999999998,中型_重構造_標準天井,success,8.353285074234009,fcstd_outputs/sample50.FCStd
11.25,8.78,3.74,3.02,344,349,544,796,329,2.9,0.5,0.39,0.18,3.1,1333321.7916797851,1251.951908300016,10,6.960000000000001,1.4950350456494605,131698859.97317076,98.77499999999999,小型_重構造_標準天井,success,6.1140360832214355,fcstd_outputs/sample51.FCStd
12.87,12.66,2.65,2.75,409,201,780,519,313,20.3,0.31,0.45,-0.3,3.4,1439916.6496203206,1706.0838097142994,8.681000000000001,5.22,0.994260511553214,234611667.37256727,162.9342,中型_重構造_低天井,success,8.046451091766357,fcstd_outputs/sample52.FCStd
10.5,10.18,2.71,2.85,204,180,871,365,282,-29.4,0.39,0.29,0.16,1.2,1286220.5555906615,1028.2484747303326,8.252375,4.8100000000000005,2.1840340838506624,137484115.1870858,106.89,中型_重構造_低天井,success,5.225129127502441,fcstd_outputs/sample53.FCStd
9.32,10.44,3.13,3.1,430,179,705,337,241,0.6,0.33,0.14,-0.33,1.3,1259386.028717162,950.7107235919876,8.321750000000002,8.19,1.2331091877541576,122539268.10300285,97.3008,小型_重構造_標準天井,success,4.421443939208984,fcstd_outputs/sample54.FCStd
9.22,8.58,2.7,3.58,409,387,747,786,264,12.9,0.35,0.07,-0.16,2.3,1308462.578655475,1042.2850317826314,8.739374999999999,6.460000000000001,2.7726829517736453,103509334.28724587,79.1076,小型_重構造_標準天井,success,3.9809730052948,fcstd_outputs/sample55.FCStd
10.63,13.91,3.13,3.02,350,305,489,361,156,-3.3,0.4,0.02,-0.24,1.7,1171916.6723162767,508.08649899179693,8.6975,7.92,0.5308664978813531,173283466.49370334,147.8633,中型_重構造_標準天井,success,7.340911149978638,fcstd_outputs/sample56.FCStd
12.92,9.06,3.57,3.03,453,343,335,615,270,20.3,0.22,0.17,-0.02,1.6,1266149.2467827941,928.4551695245459,7.875312500000001,6.22,0.9550459604230219,148209353.31200933,117.0552,中型_重構造_標準天井,success,6.95802903175354,fcstd_outputs/sample57.FCStd
10.19,13.44,2.92,3.18,349,271,757,537,219,-3.8,0.65,0.06,-0.09,2.2,1205593.1301921236,609.9038486887737,9.630656250000001,7.369999999999999,1.1981384278843128,165110319.31508002,136.9536,中型_重構造_標準天井,success,7.867302894592285,fcstd_outputs/sample58.FCStd
8.69,14.1,3.95,3.06,468,306,843,366,209,16.5,0.2,0.29,0.01,2.7,1304817.17246824,992.539308151017,9.243281249999999,5.6,1.2685324553628274,159877943.32536095,122.529,中型_重構造_高天井,success,9.77723217010498,fcstd_outputs/sample59.FCStd
9.91,9.65,3.06,3.69,301,382,727,713,338,28.7,0.45,0.38,-0.11,2.7,1436945.5031824957,1690.2070178466918,9.194375,4.38,1.990199826270053,137417253.88759685,95.6315,小型_重構造_標準天井,success,5.600913763046265,fcstd_outputs/sample60.FCStd
14.56,14.92,3.15,3.31,251,396,611,512,189,-20.4,0.26,0.16,0.25,1.7,1276429.6559982928,943.8121533313407,7.725,6.21,0.7127317523895287,277285451.6067204,217.23520000000002,中型_重構造_標準天井,success,10.810718059539795,fcstd_outputs/sample61.FCStd
12.12,8.34,3.99,3.72,278,306,758,313,196,-20.5,0.3,0.47,-0.27,1.1,1269366.4292350456,917.1288482241823,8.3340625,5.7,1.58262490799853,128308574.16022179,101.0808,中型_重構造_高天井,success,6.435508966445923,fcstd_outputs/sample62.FCStd
9.7,10.43,2.73,3.7,402,194,396,584,284,-27.0,0.49,0.46,-0.07,1.4,1292405.5793030795,1158.7335547089638,8.88459375,5.05,2.2083247364899345,130753964.86367185,101.17099999999999,中型_重構造_標準天井,success,5.478076934814453,fcstd_outputs/sample63.FCStd
12.7,9.2,3.82,3.3,384,395,323,615,274,-11.3,0.36,0.42,0.33,1.4,1302492.6115503116,1140.4834593796695,9.3775625,6.619999999999999,1.1295595877762883,152183236.7335384,116.83999999999999,中型_重構造_高天井,success,6.946186065673828,fcstd_outputs/sample64.FCStd
9.6,13.21,3.86,3.21,480,329,502,381,285,-19.9,0.4,0.52,-0.32,2.6,1276763.9678019502,992.5381035047674,10,5.26,0.9241539887655793,161914099.34077212,126.816,中型_超重構造_高天井,success,7.537531852722168,fcstd_outputs/sample65.FCStd
12.91,11.49,3.83,3.71,387,209,865,626,209,17.6,0.36,0.5,0.29,3.0,1403602.5621028503,1586.9277321507204,9.776,5.49,1.4849992095940572,208204649.2918322,148.3359,中型_重構造_高天井,success,8.4603590965271,fcstd_outputs/sample66.FCStd
9.76,10.08,2.98,2.78,284,198,309,638,332,23.8,0.35,0.21,-0.01,1.5,1301004.75311966,1276.0068593092406,8.432,5.37,1.1544452229552968,127993888.41571465,98.3808,小型_標準構造_標準天井,success,4.547099828720093,fcstd_outputs/sample67.FCStd
10.26,8.5,3.47,2.72,410,313,324,372,217,-10.0,0.36,0.52,-0.03,1.8,1281402.2219423687,1146.1900138806595,9.027875,6.75,0.9029473195380765,111751087.77559397,87.21,小型_重構造_標準天井,success,5.178725242614746,fcstd_outputs/sample68.FCStd
12.88,11.36,3.16,3.62,298,399,667,791,329,-14.7,0.44,0.06,-0.39,2.8,1253418.6794587711,761.6905713411518,9.389,6.279999999999999,1.6887572852650263,183396210.23863313,146.3168,中型_重構造_標準天井,success,6.7850728034973145,fcstd_outputs/sample69.FCStd
10.62,11.15,3.22,2.81,271,316,640,405,334,-2.8,0.19,0.54,0.04,2.8,1317852.473895137,1329.3620479474584,8.91796875,6.970000000000001,1.2936534289926862,156050864.99134484,118.413,中型_重構造_標準天井,success,7.1695380210876465,fcstd_outputs/sample70.FCStd
11.0,10.64,3.01,3.29,382,286,743,651,316,-29.7,0.65,0.69,-0.22,2.5,1370455.4793167734,1356.49510955133,9.599374999999998,4.28,2.343619627261506,160398109.29923517,117.04,中型_重構造_標準天井,success,6.0988359451293945,fcstd_outputs/sample71.FCStd
9.08,12.19,3.31,3.46,344,398,303,634,269,-9.8,0.69,0.04,-0.38,1.3,1181875.6114176186,563.2291966129533,9.48353125,7.27,0.6015730612289663,130816138.42488138,110.6852,中型_重構造_標準天井,success,6.396978855133057,fcstd_outputs/sample72.FCStd
9.9,11.44,3.67,3.38,261,211,843,364,194,8.7,0.57,0.38,-0.35,2.4,1298447.3087056833,1194.345248803792,9.9423125,6.380000000000001,1.4611814113773327,147056948.39477086,113.256,中型_重構造_高天井,success,6.1437671184539795,fcstd_outputs/sample73.FCStd
9.82,13.47,3.66,3.55,218,209,748,632,227,23.6,0.65,0.12,-0.07,3.4,1231130.0394248338,698.1900717006727,9.340974874902825,5.39,0.9607973621594389,162848218.41693568,132.27540000000002,中型_重構造_高天井,success,8.205901145935059,fcstd_outputs/sample74.FCStd
11.2,13.2,3.59,2.67,255,268,738,417,176,1.1,0.12,0.6,0.27,3.3,1293094.3530450722,1179.3964413139522,8.666234313292488,7.140000000000001,1.0694961597076353,191171069.15418345,147.83999999999997,中型_重構造_標準天井,success,8.553867101669312,fcstd_outputs/sample75.FCStd
10.61,13.92,4.12,2.87,213,168,822,575,279,-1.2,0.48,0.2,0.35,1.8,1228756.7085717588,798.9721508825319,9.525500000000001,7.630000000000001,1.366672316442116,181476552.7970133,147.69119999999998,中型_重構造_標準天井,success,8.979794025421143,fcstd_outputs/sample76.FCStd
10.75,12.39,2.92,3.35,278,158,829,751,199,7.6,0.28,0.6,-0.17,2.3,1313040.5137042769,1275.0035230176618,9.1951875,6.49,2.0946619986960626,174887148.62155688,133.1925,中型_超重構造_標準天井,success,7.689802169799805,fcstd_outputs/sample77.FCStd
10.74,8.88,2.84,3.74,299,395,673,354,307,-3.7,0.13,0.53,-0.1,2.9,1312625.2373328516,1227.6510327406797,8.7206875,6.880000000000001,1.5372131185073061,125186644.03471889,95.37120000000002,小型_重構造_標準天井,success,5.15361475944519,fcstd_outputs/sample78.FCStd
11.95,12.54,3.23,3.47,353,317,408,387,312,-18.2,0.56,0.6,-0.16,2.0,1330407.7707192013,1327.6214257913978,10,5.43,0.6682030979025044,199365595.66558444,149.85299999999998,中型_重構造_標準天井,success,7.724991798400879,fcstd_outputs/sample79.FCStd
11.1,12.38,2.92,3.0,426,299,560,766,310,-0.9,0.41,0.26,-0.03,2.3,1331950.285545033,1256.7194291862734,9.769625,7.16,1.6138959578431986,183033944.33902735,137.418,中型_重構造_標準天井,success,7.569772243499756,fcstd_outputs/sample80.FCStd
12.52,9.01,3.3,2.66,364,250,804,629,204,-17.4,0.12,0.46,-0.26,2.5,1322234.5020502089,1090.1387931716654,8.64171875,5.51,1.779336425123703,149154927.4506742,112.8052,中型_重構造_標準天井,success,7.0444440841674805,fcstd_outputs/sample81.FCStd
9.83,11.05,4.07,3.22,373,341,494,771,151,-26.2,0.68,0.41,0.16,3.2,1322059.7341548877,1106.2890242980855,9.85175,4.63,1.012168506100788,143604111.41350517,108.62150000000001,中型_重構造_高天井,success,5.771252155303955,fcstd_outputs/sample82.FCStd
14.69,12.68,2.99,3.64,354,236,508,644,250,-6.2,0.68,0.05,0.38,2.6,1209127.5875834906,711.8433002102984,10,7.130000000000001,0.7665704974030512,225223228.43710673,186.26919999999998,中型_重構造_標準天井,success,10.153954029083252,fcstd_outputs/sample83.FCStd
10.66,14.67,2.89,3.29,269,233,530,483,287,13.5,0.45,0.03,0.21,2.6,1200337.3919882458,535.7107033720686,9.4435,6.4,0.7862139264236908,187711402.10138425,156.3822,中型_重構造_標準天井,success,9.49856686592102,fcstd_outputs/sample84.FCStd
13.44,14.88,3.74,2.62,189,309,358,505,166,-20.2,0.67,0.09,0.12,3.2,1197477.52987033,611.7515786098197,8.939527163096864,5.73,0.39925007305514554,239480178.26168364,199.9872,中型_標準構造_標準天井,success,11.035019874572754,fcstd_outputs/sample85.FCStd
9.69,13.26,3.31,2.64,439,205,788,468,291,-21.7,0.2,0.67,0.19,2.5,1300331.5356912694,981.5366414609528,8.48515625,5.08,1.4856929163083152,167078818.82204977,128.4894,中型_重構造_標準天井,success,7.643460988998413,fcstd_outputs/sample86.FCStd
12.69,9.67,3.28,3.15,359,366,374,373,265,5.1,0.24,0.39,-0.2,1.6,1299259.7414402198,1241.4046483236202,8.920625000000001,7.24,0.7281726155753373,159435151.16953468,122.7123,中型_重構造_標準天井,success,7.28398585319519,fcstd_outputs/sample87.FCStd
8.6,14.79,3.83,2.97,303,210,304,648,215,-7.6,0.32,0.61,-0.21,3.3,1203229.122500048,699.1938255721278,9.782615317264424,6.49,0.8374812400441309,153043525.00727108,127.19399999999999,中型_重構造_標準天井,success,9.370288133621216,fcstd_outputs/sample88.FCStd
