Lx,Ly,H1,H2,tf,tr,bc,hc,tw_ext,wall_tilt_angle,window_ratio_2f,roof_morph,roof_shift,balcony_depth,material_columns,material_floor1,material_floor2,material_roof,material_walls,material_balcony,cost_per_sqm,co2_per_sqm,comfort_score,constructability_score,safety_factor,total_cost,floor_area,design_pattern,evaluation_status,evaluation_time_s,fcstd_path
8.43,9.29,2.88,3.19,534,421,765,697,480,14.0,0.81,1.0,-0.23,1.4,0,1,1,0,1,0,1205073.0746866842,1639.424986433866,5.940219641713226,5.35,2.6191111215637104,94374936.32216525,78.31469999999999,小型_超重構造_標準天井_混合構造,success,4.487151861190796,fcstd_outputs/sample42.FCStd
11.8,10.15,3.12,3.09,433,415,542,682,341,-16.4,0.13,0.72,0.43,2.2,0,1,0,1,1,0,590365.9913747658,841.2716620172163,6.427347752033562,4.609999999999999,1.5981693076344967,70708134.7869557,119.77000000000001,中型_超重構造_標準天井_混合構造,success,6.2266528606414795,fcstd_outputs/sample43.FCStd
9.05,9.71,3.28,3.12,360,475,954,996,467,8.8,0.49,0.97,0.31,2.2,1,0,0,0,1,0,1869803.5199160986,1991.7627000287866,6.317790326945061,5.369999999999999,2.4859043864439485,164309919.21438715,87.87550000000002,小型_超重構造_標準天井_混合構造,success,6.147948980331421,fcstd_outputs/sample44.FCStd
11.03,11.16,2.94,2.66,506,403,786,491,481,9.3,0.2,0.34,0.34,1.8,0,1,0,0,1,0,729061.9342070462,1151.191123580843,6.118384668801611,6.82,1.4916822867997654,89743732.9788295,123.09479999999999,中型_超重構造_低天井_混合構造,success,5.4137139320373535,fcstd_outputs/sample45.FCStd
9.12,9.38,3.2,2.86,587,398,432,961,399,3.7,0.33,0.9,-0.48,1.9,1,0,1,1,0,1,1014780.9089016537,1217.062296959418,6.284375602907651,6.380000000000001,1.0313315201941697,86810041.7205373,85.5456,小型_超重構造_標準天井_木造中心,success,4.601893186569214,fcstd_outputs/sample46.FCStd
11.36,10.72,2.75,3.12,381,432,591,561,429,-18.0,0.49,0.8,-0.42,3.4,0,1,0,0,1,0,673813.4661913357,1224.4601168377599,6.55401028902657,4.45,1.0110792134792412,82056464.86200792,121.7792,中型_超重構造_標準天井_混合構造,success,5.840947866439819,fcstd_outputs/sample47.FCStd
9.57,9.49,3.34,2.98,517,358,829,706,404,8.4,0.24,0.12,0.1,2.9,1,1,0,0,1,0,715087.8562609953,636.5247646595726,6.207492895759851,6.91,1.1697652208296967,64943778.54412421,90.8193,小型_超重構造_標準天井_混合構造,success,5.203006029129028,fcstd_outputs/sample48.FCStd
9.8,10.67,2.7,2.85,476,548,713,638,313,-9.0,0.45,0.85,-0.25,2.2,1,0,0,1,1,0,928593.9375466496,1234.089379897443,6.029406180418731,5.35,1.7136880012240152,97099353.67350297,104.566,中型_超重構造_低天井_混合構造,success,7.227093935012817,fcstd_outputs/sample49.FCStd
8.19,10.18,2.77,2.73,494,355,518,546,436,-1.4,0.81,0.38,0.48,1.8,0,1,0,0,0,1,644817.9438528452,1263.997312324328,6.389637146858907,7.609999999999999,1.7256351221799684,53761180.21437588,83.37419999999999,小型_超重構造_低天井_混合構造,success,5.166851043701172,fcstd_outputs/sample50.FCStd
10.01,9.34,3.29,3.19,453,529,983,828,327,21.9,0.82,0.93,0.43,2.9,1,0,0,1,0,1,1937595.467281036,2000.0,6.030216869224843,4.0600000000000005,1.1959235874631076,181152388.06069282,93.4934,小型_超重構造_標準天井_混合構造,success,6.691855192184448,fcstd_outputs/sample51.FCStd
